entry,name,body_size,called_functions,callers
"0x80022d18","FUN_80022d18","1344","FUN_80022240","FUN_800228f0"
"0x80023258","FUN_80023258","384","FUN_80079a84","FUN_80023654"
"0x800233d8","FUN_800233d8","264","FUN_8007a998","FUN_80023654"
"0x800234e0","FUN_800234e0","372","FUN_80025bc8;FUN_8002e1e0;FUN_80035194;FUN_80041da4;FUN_800422ec;FUN_80042440;FUN_8004e324","FUN_80023654;FUN_80044414"
"0x80023654","FUN_80023654","3304","FUN_80023258;FUN_800233d8;FUN_800234e0;FUN_80024624;FUN_80079a84;FUN_8007a998;FUN_8007acb8;FUN_8007b0a4;FUN_8007e64c;FUN_8007ef48;FUN_8008793c","FUN_80024a70"
"0x8002433c","FUN_8002433c","744","FUN_80079a84",""
"0x80024624","FUN_80024624","108","","FUN_80023654"
"0x80024730","FUN_80024730","360","FUN_8001e748;FUN_800422ec;FUN_8004e324;FUN_8007a998;FUN_8007acb8;FUN_8007e64c;FUN_8007ef48",""
"0x80024898","FUN_80024898","212","FUN_8001e748;FUN_8007a998;FUN_8007acb8",""
"0x8002496c","FUN_8002496c","116","FUN_800908a4","FUN_800510d8"
"0x800249e0","FUN_800249e0","144","FUN_800908a4",""
"0x80024a70","FUN_80024a70","560","FUN_80023654;FUN_8007e64c",""
"0x80024ca0","FUN_80024ca0","488","FUN_8007e64c;FUN_8007ef48",""
"0x80024f2c","FUN_80024f2c","208","","FUN_8001d6cc;FUN_8005cd38"
"0x80024ffc","FUN_80024ffc","232","FUN_8005f6d0",""
"0x800250e4","FUN_800250e4","1192","FUN_8001ebc8;FUN_8002558c;FUN_8007a998;FUN_8007acb8",""
"0x8002558c","FUN_8002558c","632","","FUN_800250e4"
"0x800259a8","FUN_800259a8","544","FUN_80079a20",""
"0x80025bc8","FUN_80025bc8","240","FUN_8007a998;FUN_8007acb8;FUN_8007e64c;FUN_8008793c","FUN_800234e0"
"0x80025cb8","FUN_80025cb8","188","FUN_80027fac;FUN_80079c1c","FUN_800105c4;FUN_80010a84"
"0x80025d74","FUN_80025d74","2128","FUN_80028d70;FUN_8005f6d0;FUN_8007976c;FUN_80079a84;FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_800265c4;FUN_80026a48;FUN_80027af0"
"0x800265c4","FUN_800265c4","1156","FUN_80025d74;FUN_80028848;FUN_80028d70;FUN_80029aa4;FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_80027fac"
"0x80026a48","FUN_80026a48","1380","FUN_80025d74;FUN_80028848;FUN_80028d70;FUN_80029aa4;FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_80027fac"
"0x80026fac","FUN_80026fac","2884","FUN_80028848;FUN_80028d70;FUN_8005f6d0;FUN_8007976c;FUN_80079a84;FUN_8007a998;FUN_8007acb8;FUN_8007b0a4;FUN_80087a9c","FUN_80027fac"
"0x80027af0","FUN_80027af0","1212","FUN_80025d74;FUN_80036f3c;FUN_8005f6d0;FUN_8007b4a4;FUN_8007bd68;FUN_8008d6c0;FUN_8008f178;FUN_800937c4","FUN_80027fac"
"0x80027fac","FUN_80027fac","2204","FUN_800265c4;FUN_80026a48;FUN_80026fac;FUN_80027af0;FUN_80028f60;FUN_80029950;FUN_8002cd88;FUN_8005e240;FUN_80079a20;FUN_80079a84;FUN_8007a998;FUN_8008793c;FUN_80087a9c;FUN_800937c4","FUN_8001d6cc;FUN_80025cb8;FUN_800383d0"
"0x80028848","FUN_80028848","1320","FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_800265c4;FUN_80026a48;FUN_80026fac"
"0x80028d70","FUN_80028d70","496","FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_80025d74;FUN_800265c4;FUN_80026a48;FUN_80026fac"
"0x80028f60","FUN_80028f60","2240","FUN_8001fe70;FUN_80029820;FUN_80049ac0;FUN_8005f6d0;FUN_8007976c;FUN_80079a84;FUN_80079c1c;FUN_8007a998;FUN_8007b0a4;FUN_800937c4","FUN_80027fac"
"0x80029820","FUN_80029820","304","FUN_80079a20;FUN_8007b4a4;FUN_80091e68","FUN_80028f60;FUN_800325a4"
"0x80029950","FUN_80029950","340","FUN_8007a998;FUN_8007acb8;FUN_8007b0a4;FUN_800908a4","FUN_80027fac"
"0x80029aa4","FUN_80029aa4","196","FUN_80079a84;FUN_80087a9c","FUN_800265c4;FUN_80026a48"
"0x80029b68","FUN_80029b68","240","FUN_80079a20",""
"0x80029c58","FUN_80029c58","972","FUN_8002a368;FUN_8002a500","FUN_800142d8;FUN_8004c418;FUN_8004dae8"
"0x8002a024","FUN_8002a024","576","FUN_800560dc;FUN_80079a84;FUN_8007e044;FUN_8007e1fc;FUN_8008790c",""
"0x8002a2c0","FUN_8002a2c0","168","FUN_8007e044;FUN_8007e16c",""
"0x8002a368","FUN_8002a368","408","FUN_8008790c","FUN_80029c58"
"0x8002a500","FUN_8002a500","788","FUN_80079a84;FUN_8007d254;FUN_8007e5d0","FUN_80029c58;FUN_8003adf4"
"0x8002a814","FUN_8002a814","588","FUN_8002aa60;FUN_800560dc;FUN_8005fa4c;FUN_8007e044;FUN_8007e1fc;FUN_8009047c",""
